City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,La Palma,US,83.97,few clouds,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
7,Cayenne,GF,82.09,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
12,Jizan,SA,83.79,clear sky,17.3333,42.6667,شهدان. ابوالحجر
18,Hatillo,PR,77.79,few clouds,18.4863,-66.8254,El Buen Hotel
20,Touros,BR,77.09,clear sky,-5.1989,-35.4608,INN NEW HORIZON
24,Georgetown,MY,84.13,few clouds,5.4112,100.3354,Cititel Penang
30,Nizwa,OM,80.49,overcast clouds,22.9333,57.5333,Orient Apartments
32,Quatre Cocos,MU,73.51,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
40,Bubaque,GW,78.31,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
43,Hithadhoo,MV,84.49,overcast clouds,-0.6,73.0833,Scoop Guest House
44,Gat,IL,72.39,broken clouds,31.61,34.7642,OlusHome
45,Cidreira,BR,71.24,few clouds,-30.1811,-50.2056,Hotel Castelo
47,Jalu,LY,76.24,overcast clouds,29.0331,21.5482,صاحبة الفخامة
48,Sao Filipe,CV,73.74,clear sky,14.8961,-24.4956,Hotel Xaguate
50,Kutum,SD,77.83,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
65,Laguna,US,79.45,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
67,Caravelas,BR,75.02,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
68,Arraial Do Cabo,BR,76.26,clear sky,-22.9661,-42.0278,Pousada Porto Praia
70,Key West,US,80.6,clear sky,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
71,Hobyo,SO,82.74,overcast clouds,5.3505,48.5268,Iftin hotel hobyo
73,Bathsheba,BB,77.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
74,Progreso,MX,82.51,clear sky,21.2833,-89.6667,Playa Linda Hotel
75,Bambous Virieux,MU,73.65,light rain,-20.3428,57.7575,Casa Tia Villa
76,Saint George,US,83.62,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
77,Marawi,PH,78.12,overcast clouds,7.9986,124.2928,Derogongan Residence
82,Charlestown,AU,71.38,moderate rain,-32.95,151.6667,Panorama Motor Inn Hotel
85,Santiago Del Estero,AR,80.33,overcast clouds,-27.7951,-64.2615,Apartamentos Castelli 90
86,Sao Sebastiao,BR,72.55,clear sky,-23.76,-45.4097,Hotel Recanto dos Pássaros
89,Harper,LR,79.2,light rain,4.375,-7.7169,Screensaver
92,Tutoia,BR,77.11,overcast clouds,-2.7619,-42.2744,Pousada Guará's
93,Pucallpa,PE,80.64,scattered clouds,-8.3791,-74.5539,Hotel Sol de Oriente - Pucallpa
94,Dingle,PH,84.11,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
95,Tonj,SS,79.14,few clouds,7.2737,28.6822,Lakan Hotel
96,Mitsamiouli,KM,80.35,overcast clouds,-11.3847,43.2844,Foyer ADM
98,Sao Felix Do Xingu,BR,72.21,broken clouds,-6.6447,-51.995,Rio Xingu Camping
109,Oriximina,BR,75.43,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
111,Ratnapura,LK,77.36,overcast clouds,6.6828,80.3992,Hotel Helenium
