City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Sao Marcos,BR,-28.9711,-51.0681,66.72,98,32,3.94,scattered clouds
1,Oxapampa,PE,-10.5775,-75.4017,59.67,98,97,2.55,overcast clouds
2,Chlorakas,CY,34.8042,32.4083,54.48,67,82,9.22,broken clouds
3,Grindavik,IS,63.8424,-22.4338,41.47,93,75,3.44,broken clouds
4,Clyde River,CA,70.4692,-68.5914,-1.97,84,40,10.36,light snow
5,La Palma,US,33.8464,-118.0467,83.97,55,20,8.05,few clouds
6,Marondera,ZW,-18.1853,31.5519,55.76,94,93,9.64,overcast clouds
7,Cayenne,GF,4.9333,-52.3333,82.09,1,40,2.3,scattered clouds
8,Cape Town,ZA,-33.9258,18.4232,59.92,74,0,10.0,clear sky
9,Bredasdorp,ZA,-34.5322,20.0403,53.24,83,0,3.44,clear sky
10,Ushuaia,AR,-54.8,-68.3,38.86,81,75,16.11,broken clouds
11,Turukhansk,RU,65.8167,87.9833,25.07,82,59,5.21,broken clouds
12,Jizan,SA,17.3333,42.6667,83.79,49,0,3.02,clear sky
13,Virginia Beach,US,36.8529,-75.978,63.01,85,100,1.99,overcast clouds
14,Ancud,CL,-41.8697,-73.8203,45.77,73,100,12.33,light rain
15,Qaqortoq,GL,60.7167,-46.0333,36.48,86,100,3.44,overcast clouds
16,Torbay,CA,47.6666,-52.7314,35.76,95,100,10.0,fog
17,Kemijarvi,FI,66.7131,27.4306,20.16,69,1,4.99,clear sky
18,Hatillo,PR,18.4863,-66.8254,77.79,76,14,8.01,few clouds
19,Coquimbo,CL,-29.9533,-71.3436,61.81,76,2,0.4,clear sky
20,Touros,BR,-5.1989,-35.4608,77.09,85,8,11.63,clear sky
21,Hermanus,ZA,-34.4187,19.2345,50.81,81,0,9.91,clear sky
22,Olafsvik,IS,64.8945,-23.7142,42.31,78,91,3.65,overcast clouds
23,Dikson,RU,73.5069,80.5464,9.19,94,88,8.88,overcast clouds
24,Georgetown,MY,5.4112,100.3354,84.13,79,20,4.61,few clouds
25,Bajina Basta,RS,43.9708,19.5675,51.19,90,9,2.15,clear sky
26,Korla,CN,41.7597,86.1469,55.27,47,0,15.68,clear sky
27,Tasiilaq,GL,65.6145,-37.6368,30.36,92,78,4.09,broken clouds
28,East London,ZA,-33.0153,27.9116,61.79,76,83,10.69,light rain
29,Hualmay,PE,-11.0964,-77.6139,67.69,86,94,8.68,overcast clouds
