City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ribeira Grande,PT,2022-04-22 23:42:26,38.5167,-28.7,58.26,68,96,12.68
1,Qaanaaq,GL,2022-04-22 23:39:13,77.484,-69.3632,4.41,90,100,3.47
2,Ambilobe,MG,2022-04-22 23:42:26,-13.2,49.05,72.32,92,93,3.53
3,Pisco,PE,2022-04-22 23:39:42,-13.7,-76.2167,65.01,88,0,16.11
4,Jamestown,US,2022-04-22 23:42:27,42.097,-79.2353,49.64,49,0,6.91
5,Mar Del Plata,AR,2022-04-22 23:42:28,-38.0023,-57.5575,53.62,94,75,15.01
6,Konjic,BA,2022-04-22 23:42:28,43.6519,17.9614,54.48,98,100,4.72
7,Atar,MR,2022-04-22 23:42:28,20.5169,-13.0499,77.16,20,57,7.25
8,Chuy,UY,2022-04-22 23:39:05,-33.6971,-53.4616,54.61,95,100,7.29
9,Betioky,MG,2022-04-22 23:42:29,-23.7167,44.3833,73.94,69,87,5.14
10,Punta Arenas,CL,2022-04-22 23:42:29,-53.15,-70.9167,46.51,71,75,6.91
11,Ushuaia,AR,2022-04-22 23:42:30,-54.8,-68.3,44.26,61,40,4.61
12,East London,ZA,2022-04-22 23:38:33,-33.0153,27.9116,63.95,89,99,11.97
13,Mahebourg,MU,2022-04-22 23:42:30,-20.4081,57.7,76.24,69,40,12.66
14,Cape Town,ZA,2022-04-22 23:41:29,-33.9258,18.4232,59.41,73,20,20.71
15,Victoria,HK,2022-04-22 23:40:04,22.2855,114.1577,79.97,89,10,4.0
16,Belmonte,BR,2022-04-22 23:42:31,-15.8631,-38.8828,77.16,80,0,6.49
17,Antalaha,MG,2022-04-22 23:42:32,-14.9003,50.2788,74.3,92,97,4.7
18,Cascais,PT,2022-04-22 23:42:32,38.6979,-9.4215,51.94,74,99,25.99
19,Lagoa,PT,2022-04-22 23:42:33,39.05,-27.9833,57.04,69,100,14.94
20,Sainte-Adele,CA,2022-04-22 23:42:33,45.9501,-74.1325,48.31,75,39,4.56
21,Longyearbyen,SJ,2022-04-22 23:41:15,78.2186,15.6401,21.04,73,75,3.44
22,Gat,IL,2022-04-22 23:42:34,31.61,34.7642,63.28,100,89,3.69
23,Aleppo,SY,2022-04-22 23:42:34,36.25,37.5,65.52,31,0,6.91
24,Roald,NO,2022-04-22 23:42:34,62.5833,6.1333,46.76,87,99,18.41
25,Hermanus,ZA,2022-04-22 23:40:45,-34.4187,19.2345,53.8,68,29,11.27
26,Muros,ES,2022-04-22 23:42:35,42.7762,-9.0603,50.16,91,100,3.67
27,Hithadhoo,MV,2022-04-22 23:39:02,-0.6,73.0833,84.36,71,100,10.18
28,Kemijarvi,FI,2022-04-22 23:42:36,66.7131,27.4306,35.96,83,66,5.3
29,Milford,US,2022-04-22 23:38:18,41.2223,-73.0565,64.17,27,0,14.97
30,Bambous Virieux,MU,2022-04-22 23:42:36,-20.3428,57.7575,76.21,69,40,12.66
31,Tasiilaq,GL,2022-04-22 23:42:37,65.6145,-37.6368,32.16,91,100,3.91
32,Bengkulu,ID,2022-04-22 23:42:37,-3.8004,102.2655,76.59,88,100,6.78
33,Wilmington,US,2022-04-22 23:39:57,34.2257,-77.9447,69.01,64,57,1.01
34,Iqaluit,CA,2022-04-22 23:42:38,63.7506,-68.5145,11.93,73,40,10.36
35,Upernavik,GL,2022-04-22 23:42:38,72.7868,-56.1549,1.85,98,61,3.44
36,Lasa,IT,2022-04-22 23:42:39,46.6166,10.7002,49.08,96,98,3.49
37,Caravelas,BR,2022-04-22 23:42:39,-17.7125,-39.2481,74.77,81,13,6.15
38,Harper,LR,2022-04-22 23:42:39,4.375,-7.7169,78.64,83,44,2.77
39,Cidreira,BR,2022-04-22 23:40:51,-30.1811,-50.2056,68.94,80,100,7.94
40,Valer,NO,2022-04-22 23:42:40,60.6785,11.8331,39.85,82,39,4.09
41,Saint-Philippe,RE,2022-04-22 23:42:41,-21.3585,55.7679,74.79,81,88,15.39
42,Huanuco,PE,2022-04-22 23:42:41,-9.9329,-76.2415,64.31,92,83,4.32
43,Crisan,RO,2022-04-22 23:42:41,44.9667,29.4667,50.83,78,98,9.06
44,Vicuna,CL,2022-04-22 23:42:42,-30.0319,-70.7081,71.76,48,11,0.96
45,Prieska,ZA,2022-04-22 23:43:42,-29.6641,22.7474,64.65,59,8,7.18
46,Albany,US,2022-04-22 23:41:57,42.6001,-73.9662,55.81,70,9,6.2
47,San Cristobal,VE,2022-04-22 23:43:43,7.7669,-72.225,73.58,90,54,3.31
48,Bijela,BA,2022-04-22 23:43:44,43.6086,17.9519,52.5,99,100,4.56
49,Vilhena,BR,2022-04-22 23:43:44,-12.7406,-60.1458,75.42,83,20,8.05
50,Bredasdorp,ZA,2022-04-22 23:43:44,-34.5322,20.0403,55.92,63,69,5.88
51,Teguise,ES,2022-04-22 23:43:45,29.0605,-13.564,61.02,68,40,8.05
52,Port Alfred,ZA,2022-04-22 23:42:23,-33.5906,26.891,58.17,95,100,1.99
53,Ilebo,CD,2022-04-22 23:43:45,-4.3167,20.5833,72.46,97,99,1.5
54,Sorland,NO,2022-04-22 23:43:46,67.667,12.6934,40.98,73,77,16.75
55,Marienburg,PL,2022-04-22 23:43:46,54.0359,19.0266,45.88,90,11,6.15
56,Salinas,US,2022-04-22 23:43:47,36.6777,-121.6555,64.44,60,0,17.27
57,Vestmannaeyjar,IS,2022-04-22 23:43:47,63.4427,-20.2734,46.24,85,61,12.62
58,Port Elizabeth,ZA,2022-04-22 23:39:09,-33.918,25.5701,60.1,92,75,16.11
59,Souillac,MU,2022-04-22 23:40:48,-20.5167,57.5167,75.58,69,40,12.66
60,Kruisfontein,ZA,2022-04-22 23:43:48,-34.0033,24.7314,57.88,82,100,3.49
61,Chake Chake,TZ,2022-04-22 23:43:49,-5.2459,39.7666,76.87,87,83,2.35
62,Bathsheba,BB,2022-04-22 23:43:49,13.2167,-59.5167,79.41,65,20,14.97
63,Saint George,US,2022-04-22 23:40:23,37.1041,-113.5841,56.62,47,40,19.57
